Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELHH,2025-02-06T00:30:00Z,2025-02-06T00:00:00Z,2025-02-06,1,OIL,0
FUELHH,2025-02-06T00:30:00Z,2025-02-06T00:00:00Z,2025-02-06,1,OTHER,263
FUELHH,2025-02-06T00:30:00Z,2025-02-06T00:00:00Z,2025-02-06,1,PS,-908
FUELHH,2025-02-06T00:30:00Z,2025-02-06T00:00:00Z,2025-02-06,1,WIND,4143
FUELHH,2025-02-06T00:00:00Z,2025-02-05T23:30:00Z,2025-02-05,48,BIOMASS,3008
FUELHH,2025-02-06T00:00:00Z,2025-02-05T23:30:00Z,2025-02-05,48,CCGT,16016
FUELHH,2025-02-06T00:00:00Z,2025-02-05T23:30:00Z,2025-02-05,48,COAL,0
FUELHH,2025-02-06T00:00:00Z,2025-02-05T23:30:00Z,2025-02-05,48,INTELEC,0
FUELHH,2025-02-06T00:00:00Z,2025-02-05T23:30:00Z,2025-02-05,48,INTEW,-506
FUELHH,2025-02-06T00:00:00Z,2025-02-05T23:30:00Z,2025-02-05,48,INTFR,-6
FUELHH,2025-02-06T00:00:00Z,2025-02-05T23:30:00Z,2025-02-05,48,INTGRNL,-514
FUELHH,2025-02-06T00:00:00Z,2025-02-05T23:30:00Z,2025-02-05,48,INTIFA2,48
FUELHH,2025-02-06T00:00:00Z,2025-02-05T23:30:00Z,2025-02-05,48,INTIRL,-312
FUELHH,2025-02-06T00:00:00Z,2025-02-05T23:30:00Z,2025-02-05,48,INTNED,216
FUELHH,2025-02-06T00:00:00Z,2025-02-05T23:30:00Z,2025-02-05,48,INTNEM,-12
FUELHH,2025-02-06T00:00:00Z,2025-02-05T23:30:00Z,2025-02-05,48,INTNSL,1398
FUELHH,2025-02-06T00:00:00Z,2025-02-05T23:30:00Z,2025-02-05,48,INTVKL,696
FUELHH,2025-02-06T00:00:00Z,2025-02-05T23:30:00Z,2025-02-05,48,NPSHYD,552
FUELHH,2025-02-06T00:00:00Z,2025-02-05T23:30:00Z,2025-02-05,48,NUCLEAR,4183
FUELHH,2025-02-06T00:00:00Z,2025-02-05T23:30:00Z,2025-02-05,48,OCGT,37
FUELHH,2025-02-06T00:00:00Z,2025-02-05T23:30:00Z,2025-02-05,48,OIL,0
FUELHH,2025-02-06T00:00:00Z,2025-02-05T23:30:00Z,2025-02-05,48,OTHER,330
FUELHH,2025-02-06T00:00:00Z,2025-02-05T23:30:00Z,2025-02-05,48,PS,-318
FUELHH,2025-02-06T00:00:00Z,2025-02-05T23:30:00Z,2025-02-05,48,WIND,4122
FUELHH,2025-02-05T23:30:00Z,2025-02-05T23:00:00Z,2025-02-05,47,BIOMASS,2985
FUELHH,2025-02-05T23:30:00Z,2025-02-05T23:00:00Z,2025-02-05,47,CCGT,16738
FUELHH,2025-02-05T23:30:00Z,2025-02-05T23:00:00Z,2025-02-05,47,COAL,0
FUELHH,2025-02-05T23:30:00Z,2025-02-05T23:00:00Z,2025-02-05,47,INTELEC,0
FUELHH,2025-02-05T23:30:00Z,2025-02-05T23:00:00Z,2025-02-05,47,INTEW,-370
FUELHH,2025-02-05T23:30:00Z,2025-02-05T23:00:00Z,2025-02-05,47,INTFR,-26
FUELHH,2025-02-05T23:30:00Z,2025-02-05T23:00:00Z,2025-02-05,47,INTGRNL,-514
FUELHH,2025-02-05T23:30:00Z,2025-02-05T23:00:00Z,2025-02-05,47,INTIFA2,42
FUELHH,2025-02-05T23:30:00Z,2025-02-05T23:00:00Z,2025-02-05,47,INTIRL,-326
FUELHH,2025-02-05T23:30:00Z,2025-02-05T23:00:00Z,2025-02-05,47,INTNED,214
FUELHH,2025-02-05T23:30:00Z,2025-02-05T23:00:00Z,2025-02-05,47,INTNEM,-22
FUELHH,2025-02-05T23:30:00Z,2025-02-05T23:00:00Z,2025-02-05,47,INTNSL,1398
FUELHH,2025-02-05T23:30:00Z,2025-02-05T23:00:00Z,2025-02-05,47,INTVKL,692
FUELHH,2025-02-05T23:30:00Z,2025-02-05T23:00:00Z,2025-02-05,47,NPSHYD,578
FUELHH,2025-02-05T23:30:00Z,2025-02-05T23:00:00Z,2025-02-05,47,NUCLEAR,4187
FUELHH,2025-02-05T23:30:00Z,2025-02-05T23:00:00Z,2025-02-05,47,OCGT,15
FUELHH,2025-02-05T23:30:00Z,2025-02-05T23:00:00Z,2025-02-05,47,OIL,0
FUELHH,2025-02-05T23:30:00Z,2025-02-05T23:00:00Z,2025-02-05,47,OTHER,408
